record_id,date,time_utc,system,os_or_app,patch_id,patch_title,severity,change_ticket,deployer,maintenance_window,result,notes
PATCH-8001,2025-10-04,02:30,web-srv-01,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Update,High,CHG-2025-8001,Lisa Park,MW-PROD,Success,Applied within SLA
PATCH-8002,2025-10-04,02:45,web-srv-02,Ubuntu 22.04,USN-7121-1,OpenSSL 3.0.15 Update,High,CHG-2025-8001,Lisa Park,MW-PROD,Success,Applied within SLA
PATCH-8003,2025-10-04,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0412,Kernel Update,Medium,CHG-2025-8002,Brian Cho,MW-PROD,Success,October cycle
PATCH-8004,2025-10-04,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0412,Kernel Update,Medium,CHG-2025-8002,Brian Cho,MW-PROD,Success,October cycle
PATCH-8005,2025-10-04,04:00,db-srv-01,Ubuntu 22.04,USN-7125-1,PostgreSQL 15.9 Update,Medium,CHG-2025-8003,Nina Gupta,MW-PROD,Success,DB restart at 04:15
PATCH-8006,2025-10-08,02:30,fw-edge-01,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware,High,CHG-2025-8005,Brian Cho,MW-NET,Success,HA failover during update
PATCH-8007,2025-10-08,03:00,fw-edge-02,FortiOS 7.4,FG-IR-25-003,FortiGate Firmware,High,CHG-2025-8005,Brian Cho,MW-NET,Success,HA pair restored
PATCH-8008,2025-11-01,02:30,web-srv-01,Ubuntu 22.04,USN-7145-1,nginx Update,Medium,CHG-2025-8020,Lisa Park,MW-PROD,Success,November cycle
PATCH-8009,2025-11-01,02:45,web-srv-02,Ubuntu 22.04,USN-7145-1,nginx Update,Medium,CHG-2025-8020,Lisa Park,MW-PROD,Success,November cycle
PATCH-8010,2025-11-01,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0498,Kernel Update,Medium,CHG-2025-8021,Brian Cho,MW-PROD,Success,November cycle
PATCH-8011,2025-11-01,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0498,Kernel Update,Medium,CHG-2025-8021,Brian Cho,MW-PROD,Success,November cycle
PATCH-8012,2025-11-01,04:00,db-srv-01,Ubuntu 22.04,USN-7148-1,PostgreSQL 15.10 Update,Medium,CHG-2025-8022,Nina Gupta,MW-PROD,Success,DB restart at 04:15
PATCH-8013,2025-12-06,02:30,web-srv-01,Ubuntu 22.04,USN-7165-1,OpenSSL 3.0.16 Update,Medium,CHG-2025-8040,Lisa Park,MW-PROD,Success,December cycle
PATCH-8014,2025-12-06,02:45,web-srv-02,Ubuntu 22.04,USN-7165-1,OpenSSL 3.0.16 Update,Medium,CHG-2025-8040,Lisa Park,MW-PROD,Success,December cycle
PATCH-8015,2025-12-06,03:15,app-srv-01,RHEL 9.3,RHSA-2025:0567,Kernel Update,Medium,CHG-2025-8041,Brian Cho,MW-PROD,Success,December cycle
PATCH-8016,2025-12-06,03:30,app-srv-02,RHEL 9.3,RHSA-2025:0567,Kernel Update,Medium,CHG-2025-8041,Brian Cho,MW-PROD,Success,December cycle
PATCH-8017,2025-12-06,04:00,db-srv-01,Ubuntu 22.04,USN-7168-1,PostgreSQL 15.11 Update,Medium,CHG-2025-8042,Nina Gupta,MW-PROD,Success,DB restart at 04:15
