row_id,data_category,data_elements,storage_system,retention_period,deletion_method,legal_basis,owner,last_reviewed,justification,notes
1,Account Registration Data,"Name, email, institution, role, profile photo",PostgreSQL (AWS RDS eu-west-2),Active account + 12 months,Automated purge job (monthly),Contractual necessity,Engineering,2025-01-10,Standard account lifecycle,
2,Authentication Data,"Password hashes, MFA tokens, session logs, login history",PostgreSQL (AWS RDS eu-west-2),Active account + 12 months,Automated purge job (monthly),Contractual necessity,Engineering - Security,2025-01-10,Aligned with account retention,
3,Learning Activity Records,"Course enrollments, module completions, quiz scores, assignment grades, video watch history, session durations, learning path progression",PostgreSQL (AWS RDS eu-west-2) + S3,5 years after last activity,Automated purge with manual verification,Legal obligation,Academic Records Team,2025-01-10,"Required for tax compliance — corporate training expenditure substantiation and continuing education credit verification",No legal memorandum on file supporting this retention period. Retention period set by VP Engineering without legal counsel review.
4,Certification Records,"Certificate issuance, completion dates, credential verification tokens",PostgreSQL (AWS RDS eu-west-2),10 years from issuance,Manual deletion with audit trail,Legal obligation,Academic Records Team,2025-01-10,Accreditation and professional certification verification requirements,
5,AI Model Training Data,"Anonymized learner behavioral profiles, engagement patterns, assessment outcome distributions",S3 (eu-west-2),Indefinite,N/A — no deletion scheduled,Legitimate interest,Data Science Team,2025-01-10,"Includes learner behavioral profiles used for recommendation engine training. Profiles anonymized but based on original learning activity records.",Anonymization method: k-anonymity with k=5. Not formally validated by privacy team.
6,Platform Analytics (Mixpanel),"Pseudonymized event data: page views, feature usage, session metrics",Mixpanel SaaS (US),2 years from event date,Mixpanel TTL policy,Legitimate interest,Product Team,2025-01-10,Analytics for platform improvement,
7,Session Recordings (Hotjar),"Click/scroll heatmaps, anonymized session replays",Hotjar SaaS (EU),12 months from recording,Hotjar automated deletion,Legitimate interest,UX Team,2025-01-10,UX optimization,
8,Support Communications,"Ticket content, chat transcripts, email threads",Intercom + S3,24 months after ticket closure,Intercom automated deletion + S3 lifecycle,Legitimate interest,Customer Support,2025-01-10,Quality assurance,
9,Payment Records,"Invoice history, subscription changes, refunds",Stripe + PostgreSQL,7 years after last transaction,Stripe-managed + DB purge,Legal obligation (tax),Finance,2025-01-10,UK HMRC record-keeping requirements,
10,Marketing Consent Records,"Opt-in/opt-out status, consent timestamps, campaign preferences",PostgreSQL,24 months after consent withdrawal or account closure,Automated purge,Consent,Marketing,2025-01-10,Proof of valid consent,
