database_name,engine,host,environment,rds_encryption,kms_key,table_name,column_name,data_type,pii_flag,field_encryption,encryption_method,data_classification,owner,last_verified,notes
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,id,integer,No,N/A,N/A,Internal,Platform Team,2025-12-18,Primary key
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,email,varchar(255),Yes,Yes,AES-256-GCM,Restricted,Platform Team,2025-12-18,Encrypted via application layer
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,phone,varchar(20),Yes,Yes,AES-256-GCM,Restricted,Platform Team,2025-12-18,Encrypted via application layer
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,ssn,varchar(64),Yes,Yes,SHA-256-HMAC,Restricted,Platform Team,2025-12-18,Hashed - not reversible
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,full_name,varchar(200),Yes,Yes,AES-256-GCM,Restricted,Platform Team,2025-12-18,Encrypted via application layer
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,users,date_of_birth,date,Yes,Yes,AES-256-GCM,Restricted,Platform Team,2025-12-18,Encrypted via application layer
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,orders,id,integer,No,N/A,N/A,Internal,Platform Team,2025-12-18,Primary key
pag_prod_core,PostgreSQL 15.4,prod-db-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/core-cmk,orders,total_amount,decimal,No,N/A,N/A,Confidential,Platform Team,2025-12-18,Financial data - RDS encryption covers at-rest
pag_prod_reporting,PostgreSQL 15.4,prod-rpt-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/rpt-cmk,report_cache,id,integer,No,N/A,N/A,Internal,Reporting Team,2025-12-18,Primary key
pag_prod_reporting,PostgreSQL 15.4,prod-rpt-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/rpt-cmk,report_cache,report_data,jsonb,No,N/A,N/A,Confidential,Reporting Team,2025-12-18,Aggregated report data - no PII
pag_prod_reporting,PostgreSQL 15.4,prod-rpt-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/rpt-cmk,report_cache,generated_by,varchar(100),No,N/A,N/A,Internal,Reporting Team,2025-12-18,Internal username
pag_prod_crm,PostgreSQL 15.4,prod-crm-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/crm-cmk,contacts,id,integer,No,N/A,N/A,Internal,Sales Team,2025-12-18,Primary key
pag_prod_crm,PostgreSQL 15.4,prod-crm-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/crm-cmk,contacts,contact_email,varchar(255),Yes,Yes,AES-256-GCM,Restricted,Sales Team,2025-12-18,Encrypted via application layer
pag_prod_crm,PostgreSQL 15.4,prod-crm-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/crm-cmk,contacts,contact_phone,varchar(20),Yes,Yes,AES-256-GCM,Restricted,Sales Team,2025-12-18,Encrypted via application layer
pag_prod_crm,PostgreSQL 15.4,prod-crm-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/crm-cmk,contacts,company_name,varchar(200),No,N/A,N/A,Confidential,Sales Team,2025-12-18,Business name - not PII
pag_prod_support,PostgreSQL 15.4,prod-support-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/support-cmk,tickets,id,integer,No,N/A,N/A,Internal,Support Team,2025-12-18,Primary key
pag_prod_support,PostgreSQL 15.4,prod-support-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/support-cmk,tickets,requester_email,varchar(255),Yes,No,None,Restricted,Support Team,2025-12-18,PLAINTEXT - stored unencrypted for ticket routing and search
pag_prod_support,PostgreSQL 15.4,prod-support-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/support-cmk,tickets,requester_name,varchar(200),Yes,No,None,Restricted,Support Team,2025-12-18,PLAINTEXT - stored unencrypted for display in support dashboard
pag_prod_support,PostgreSQL 15.4,prod-support-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/support-cmk,tickets,description,text,No,N/A,N/A,Confidential,Support Team,2025-12-18,May contain PII submitted by user but not classified as PII column
pag_prod_support,PostgreSQL 15.4,prod-support-01.internal.pinnacle.io,Production,Enabled,arn:aws:kms:us-east-1:111222333:key/support-cmk,tickets,priority,varchar(20),No,N/A,N/A,Internal,Support Team,2025-12-18,Low/Medium/High/Critical
pag_staging,PostgreSQL 15.4,stg-db-01.internal.pinnacle.io,Staging,Enabled,arn:aws:kms:us-east-1:111222333:key/stg-cmk,all tables,all columns,various,No,N/A,N/A,Internal,Platform Team,2025-12-18,Staging - synthetic data only. No PII.
