vendor_id,vendor_name,tier,service,data_classification,soc2_report_received,soc2_report_period,soc2_review_date,soc2_review_notes,dpa_signed,onboarding_date,last_business_review,status
HL-V-001,Amazon Web Services (AWS),Critical,Cloud infrastructure,Customer PII + Internal,Yes,2024-10-01 to 2025-09-30,2025-11-28,Clean opinion. Inclusive method for all subservice orgs.,Yes,2020-03-15,2025-12-10,Active
HL-V-002,Snowflake Inc.,Critical,Data warehouse,Customer PII + analytics,Yes,2024-10-01 to 2025-09-30,2025-12-05,Clean opinion. AWS subservice org (inclusive).,Yes,2022-06-01,2025-12-10,Active
HL-V-003,Datadog Inc.,High,Monitoring and observability,Internal + metadata,Yes,2024-10-01 to 2025-09-30,2025-11-20,Clean opinion.,Yes,2022-09-15,2025-10-01,Active
HL-V-004,Stripe Inc.,Critical,Payment processing,Customer PII + financial,Yes,2024-07-01 to 2025-06-30,2025-09-12,Clean opinion. PCI DSS maintained.,Yes,2021-01-10,2025-12-10,Active
HL-V-005,Okta Inc.,Critical,Identity management,Customer PII + Internal,Yes,2024-04-01 to 2025-03-31,2025-06-20,Clean opinion. AWS subservice (inclusive).,Yes,2022-01-20,2025-12-10,Active
HL-V-006,Palantir Foundry,Critical,Data analytics infrastructure,Customer PII + behavioral data,Yes,2023-10-01 to 2024-07-31,2024-10-15,Clean opinion. Annual renewal expected.,Yes,2023-04-01,2025-12-10,Active
HL-V-007,Twilio Inc.,High,SMS and email notifications,Customer phone/email,Yes,2024-07-01 to 2025-06-30,2025-09-01,Clean opinion.,Yes,2023-03-01,2025-10-01,Active
HL-V-008,SendGrid,High,Transactional email,Customer email addresses,Yes,2024-07-01 to 2025-06-30,2025-09-01,Covered under Twilio SOC 2.,Yes,2023-06-15,2025-10-01,Active
HL-V-009,PagerDuty Inc.,High,Incident alerting,Internal,Yes,2024-04-01 to 2025-03-31,2025-07-15,Clean opinion.,Yes,2021-08-01,2025-10-01,Active
HL-V-010,Figma Inc.,Medium,Design tools,Internal only,N/A,N/A,N/A,Medium tier -- SOC 2 not required.,Yes,2023-02-01,N/A,Active
HL-V-011,Lattice,Medium,HR management,Employee PII,N/A,N/A,N/A,Medium tier -- security questionnaire completed.,Yes,2023-05-01,N/A,Active
HL-V-012,Notion Labs,Medium,Documentation,Internal only,N/A,N/A,N/A,Medium tier -- questionnaire completed at onboarding.,Yes,2024-01-15,N/A,Active
HL-V-013,CrowdStrike Holdings,High,Endpoint detection,Endpoint telemetry,Yes,2024-10-01 to 2025-09-30,2025-11-25,Clean opinion.,Yes,2022-04-01,2025-10-01,Active
HL-V-014,ContractPodAi,Low,Contract management,Internal contracts,N/A,N/A,N/A,Low tier -- contractual review only.,Yes,2024-06-01,N/A,Active
