log_id,date,equipment_id,equipment_type,location,maintenance_type,work_performed,technician,vendor,result,next_scheduled,change_ticket,notes
EML-501,2025-10-04,UPS-DC-01,UPS System,Data Center Room A,Quarterly Preventive,Battery load test (15 min at 80% load) — all cells passed. Visual inspection — no corrosion. Firmware v4.2.1 current.,Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-5001,All checks passed. Battery health 96%.
EML-502,2025-10-04,UPS-DC-02,UPS System,Data Center Room B,Quarterly Preventive,Battery load test (15 min at 80% load) — all cells passed. Visual inspection — clean. Firmware v4.2.1 current.,Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-5001,All checks passed. Battery health 94%.
EML-503,2025-10-04,GEN-DC-01,Diesel Generator,Data Center Exterior,Quarterly Preventive,Test run 30 minutes at 75% load. Fuel level 85%. Oil changed. Air filter replaced. Coolant level checked.,Mike Rivera,Internal (Facilities),Pass,2026-01-04,CHG-2025-5002,Generator performed within specs. Next oil change Q1 2026.
EML-504,2025-10-04,HVAC-DC-01,HVAC Unit,Data Center Room A,Monthly Preventive,Filter replaced. Temperature calibration verified — 20.5C +/- 0.5C. Humidity sensor calibrated — 45% +/- 5%.,Internal Facilities Team,Internal,Pass,2025-11-01,CHG-2025-5003,Operating within specs
EML-505,2025-10-04,HVAC-DC-02,HVAC Unit,Data Center Room B,Monthly Preventive,Filter replaced. Temperature calibration verified — 20.8C +/- 0.5C. Humidity 44%.,Internal Facilities Team,Internal,Pass,2025-11-01,CHG-2025-5003,Operating within specs
EML-506,2025-10-04,FSUP-DC-01,Fire Suppression,Data Center Rooms A and B,Semi-Annual Preventive,Agent level 98% (threshold 90%). All smoke detectors calibrated — 12/12 passed. Panel self-test passed. Manual pull stations tested.,Adams Fire Safety,Adams Fire Safety,Pass,2026-04-04,CHG-2025-5004,System fully operational
EML-507,2025-11-01,HVAC-DC-01,HVAC Unit,Data Center Room A,Monthly Preventive,Filter replaced. Temperature 20.6C. Humidity 43%.,Internal Facilities Team,Internal,Pass,2025-12-01,CHG-2025-5020,Operating within specs
EML-508,2025-11-01,HVAC-DC-02,HVAC Unit,Data Center Room B,Monthly Preventive,Filter replaced. Temperature 20.4C. Humidity 46%.,Internal Facilities Team,Internal,Pass,2025-12-01,CHG-2025-5020,Operating within specs
EML-509,2025-11-08,NET-RACK-A,Network Equipment,Data Center Room A Rack A1-A4,Annual Preventive,Physical inspection of all rack-mounted network equipment. Cable management audit — 3 unlabeled cables identified and labeled. Fan cleaning on core-switch-01 (post-replacement). Dust filter on fw-edge-01 cleaned.,James Park,Internal (Network Engineering),Pass,2026-11-08,CHG-2025-5025,3 unlabeled cables remediated. All equipment clean.
EML-510,2025-12-01,HVAC-DC-01,HVAC Unit,Data Center Room A,Monthly Preventive,Filter replaced. Temperature 20.7C. Humidity 44%.,Internal Facilities Team,Internal,Pass,2026-01-01,CHG-2025-5040,Operating within specs
EML-511,2025-12-01,HVAC-DC-02,HVAC Unit,Data Center Room B,Monthly Preventive,Filter replaced. Temperature 20.3C. Humidity 47%.,Internal Facilities Team,Internal,Pass,2026-01-01,CHG-2025-5040,Operating within specs
EML-512,2025-10-04,PDU-ROW-A,PDU,Data Center Room A Row A,Quarterly Preventive,Firmware update to v4.2.1. Load balancing verified across circuits. Thermal imaging — no hot spots. All breakers tested.,Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-5001,All circuits within 80% utilization threshold
EML-513,2025-10-04,PDU-ROW-B,PDU,Data Center Room B Row B,Quarterly Preventive,Firmware update to v4.2.1. Load balancing verified. Thermal imaging — no hot spots.,Thomas Berg,Schneider Electric,Pass,2026-01-04,CHG-2025-5001,All circuits within capacity
EML-514,2025-12-29,GEN-DC-01,Diesel Generator,Data Center Exterior,OVERDUE — Quarterly Preventive,"MAINTENANCE OVERDUE. Last maintenance: October 4 (EML-503). Next scheduled: January 4, 2026. Current status: 86 days since last maintenance — quarterly interval (90 days) approaches. Generator is functioning normally — automated weekly self-test (5 min) runs successfully every Sunday. However, the full quarterly maintenance (30-min load test, oil change, filter replacement) has not been performed. Facilities team states the December maintenance window was used for HVAC priority work and generator maintenance was deferred to January. Generator operates normally and fuel level is 72%.",N/A,N/A,Pending,2026-01-04,N/A,"Generator is operational and passes weekly self-test but full quarterly maintenance has not been performed. 86 days since last full maintenance vs 90-day quarterly requirement. Facilities team has not escalated per Section 5.3 (30-day overdue threshold not yet met since quarterly = 90 days and current interval is 86 days)."
