backup_id,date,start_time_utc,end_time_utc,type,target_system,status,size_gb,checksum_verified,operator,notes
BKP-2025-1001,2025-10-01,02:00:12,03:42:18,full,cs-db-prod-01,success,142.3,true,automated,
BKP-2025-1002,2025-10-02,02:00:08,03:45:31,full,cs-db-prod-01,success,142.8,true,automated,
BKP-2025-1003,2025-10-03,02:00:15,03:48:02,full,cs-db-prod-01,success,143.1,true,automated,
BKP-2025-1004,2025-10-04,02:00:11,03:44:55,full,cs-db-prod-01,success,143.5,true,automated,
BKP-2025-1005,2025-10-05,02:00:09,03:46:22,full,cs-db-prod-01,success,143.9,true,automated,
BKP-2025-1006,2025-10-06,02:00:14,03:50:10,full,cs-db-prod-01,success,144.4,true,automated,
BKP-2025-1007,2025-10-07,02:00:07,03:47:33,full,cs-db-prod-01,success,144.8,true,automated,
BKP-2025-1008,2025-10-08,02:00:19,03:51:45,full,cs-db-prod-01,success,145.2,true,automated,
BKP-2025-1009,2025-10-09,02:00:10,03:49:28,full,cs-db-prod-01,success,145.7,true,automated,
BKP-2025-1010,2025-10-10,02:00:13,03:53:11,full,cs-db-prod-01,success,146.1,true,automated,
BKP-2025-1011,2025-10-11,02:00:22,03:55:40,full,cs-db-prod-01,success,146.5,true,automated,
BKP-2025-1012,2025-10-12,02:00:08,03:50:19,full,cs-db-prod-01,success,147.0,true,automated,
BKP-2025-1013,2025-10-13,02:00:16,03:52:47,full,cs-db-prod-01,success,147.4,true,automated,
BKP-2025-1014,2025-10-14,02:00:11,03:54:33,full,cs-db-prod-01,success,147.9,true,automated,
BKP-2025-1015,2025-10-15,02:00:09,02:14:37,full,cs-db-prod-01,failure,0.0,false,automated,Disk full error on backup target /mnt/backup-vol-03. Alert triggered at 02:15 UTC.
BKP-2025-1015R,2025-10-15,04:22:05,06:10:41,full,cs-db-prod-01,success,148.3,true,j.martinez,Re-run after disk cleanup. Freed 850GB by archiving September backups to cold storage.
BKP-2025-1016,2025-10-16,02:00:14,03:56:28,full,cs-db-prod-01,success,148.8,true,automated,
BKP-2025-1017,2025-10-17,02:00:07,03:53:15,full,cs-db-prod-01,success,149.2,true,automated,
BKP-2025-1018,2025-10-18,02:00:20,03:58:42,full,cs-db-prod-01,success,149.7,true,automated,
BKP-2025-1019,2025-10-19,02:00:12,03:55:09,full,cs-db-prod-01,success,150.1,true,automated,
BKP-2025-1020,2025-10-20,02:00:15,03:57:33,full,cs-db-prod-01,success,150.6,true,automated,
BKP-2025-1021,2025-10-21,02:00:09,03:59:18,full,cs-db-prod-01,success,151.0,true,automated,
BKP-2025-1022,2025-10-22,02:00:18,04:01:45,full,cs-db-prod-01,success,151.5,true,automated,
BKP-2025-1023,2025-10-23,02:00:11,03:58:27,full,cs-db-prod-01,success,151.9,true,automated,
BKP-2025-1024,2025-10-24,02:00:14,04:00:52,full,cs-db-prod-01,success,152.4,true,automated,
