qid,cve,severity,cvss_score,title,host,ip_address,port,protocol,first_detected,last_observed,status,asset_owner,jira_ticket,remediation_notes
551201,CVE-2025-21391,Medium,5.5,Windows Installer EoP,web-proxy-05,10.70.2.18,445,tcp,2025-10-08,2025-12-29,Open,Platform Engineering,VULN-9102,January maintenance
551303,CVE-2025-21418,Medium,6.2,WinSock AFD Driver EoP,corp-dc-07,10.70.1.9,445,tcp,2025-11-01,2025-12-29,Open,IT Operations,VULN-9188,DC patching coordination
551089,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,app-cluster-02,10.70.4.25,8443,tcp,2025-10-12,2025-12-29,Remediated,Application Engineering,VULN-9044,Tomcat 9.0.98 — November
551412,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,esxi-prod-09,10.70.0.45,443,tcp,2025-06-15,2025-12-29,Risk Accepted,Infrastructure Engineering,VULN-8501,RA-2025-041 — CISO approved June 20
551177,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-billing-03,10.70.4.55,8080,tcp,2025-09-20,2025-12-29,Open,Application Engineering,VULN-9067,App retirement H1 2026
551256,CVE-2025-21376,High,7.5,Windows LDAP RCE,corp-dc-06,10.70.1.7,636,tcp,2025-11-05,2025-12-29,Remediated,IT Operations,VULN-9145,Emergency patch Nov 8
551134,CVE-2024-9143,Low,3.1,OpenSSL API Assertion,api-gw-04,10.70.3.12,443,tcp,2025-08-15,2025-12-29,Remediated,Platform Engineering,VULN-8712,OpenSSL 3.4.1 — October
551288,CVE-2025-0282,Critical,9.1,Ivanti Connect Secure Buffer Overflow,vpn-ha-01,10.70.0.10,443,tcp,2025-10-22,2025-12-29,Remediated,Network Engineering,VULN-9078,Emergency patch Oct 24
551378,CVE-2025-21298,Medium,6.8,Windows OLE RCE,finance-ws-15,10.70.8.34,445,tcp,2025-11-10,2025-12-29,Open,IT Operations,VULN-9167,January cycle
551155,CVE-2024-12356,High,7.2,BeyondTrust PRA Command Injection,pam-primary-02,10.70.1.22,443,tcp,2025-10-02,2025-12-29,Remediated,Security Operations,VULN-8978,Upgraded Oct 8
551434,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-prod-05,10.70.0.52,445,tcp,2025-11-18,2025-12-29,Open,Infrastructure Engineering,VULN-9201,Low risk
551111,CVE-2024-50623,Medium,6.4,Cleo Unrestricted File Upload,mft-prod-02,10.70.3.30,443,tcp,2025-09-15,2025-12-29,Remediated,Integration Engineering,VULN-8945,Cleo upgraded Sep 28
551299,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-30,10.70.8.50,0,tcp,2025-10-28,2025-12-29,Open,Development,VULN-9098,Low priority
551367,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-14,10.70.9.15,0,tcp,2025-10-25,2025-12-29,Open,IT Operations,VULN-9112,macOS update pushed
551456,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-ha-02,10.70.1.18,443,tcp,2025-12-01,2025-12-29,Open,IT Operations,VULN-9220,Exchange CU January
551078,CVE-2024-49138,Medium,6.1,Windows CLFS Driver EoP,file-srv-07,10.70.2.28,445,tcp,2025-10-05,2025-12-29,Remediated,IT Operations,VULN-8989,November cycle
551422,CVE-2025-21293,Low,2.8,AD DS EoP,corp-dc-05,10.70.1.5,389,tcp,2025-11-12,2025-12-29,Open,IT Operations,VULN-9178,AD schema Q1
551166,CVE-2025-0108,High,7.1,PAN-OS Authentication Bypass,fw-primary-03,10.70.0.2,443,tcp,2025-10-10,2025-12-29,Remediated,Network Engineering,VULN-9055,PAN-OS 11.1.6 — Oct 12
551055,CVE-2024-47575,High,7.5,FortiManager Missing Auth,fortimanager-02,10.70.0.8,443,tcp,2025-09-08,2025-12-29,Remediated,Network Engineering,VULN-8922,Sep 12 upgrade
551478,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-45,10.70.8.65,0,tcp,2025-12-05,2025-12-29,Open,IT Operations,VULN-9245,Bing disabled
551122,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,dev-share-04,10.70.5.20,80,tcp,2025-09-28,2025-12-29,Open,Development,VULN-8965,VPN-only access
