qid,cve,severity,cvss_score,title,host,ip_address,port,protocol,first_detected,last_observed,status,asset_owner,jira_ticket,remediation_notes
376421,CVE-2025-21391,Medium,5.5,Windows Installer Elevation of Privilege,web-proxy-02,10.30.2.18,445,tcp,2025-10-14,2025-12-29,Open,Platform Engineering,VULN-5102,Scheduled for January maintenance window
376503,CVE-2025-21418,Medium,6.2,WinSock AFD Driver Elevation of Privilege,corp-dc-03,10.30.1.8,445,tcp,2025-11-05,2025-12-29,Open,IT Operations,VULN-5188,Domain controller — requires coordinated patching
376289,CVE-2024-50379,Medium,5.3,Apache Tomcat Request Smuggling,app-tier-05,10.30.4.25,8443,tcp,2025-10-20,2025-12-29,Remediated,Application Engineering,VULN-5044,Tomcat upgraded to 9.0.98 on Nov 28
376177,CVE-2024-11053,Low,3.4,curl HSTS Bypass,build-runner-03,10.30.6.14,0,tcp,2025-09-18,2025-12-29,Open,DevOps,VULN-4933,Low priority — internal build infrastructure
376612,CVE-2025-22224,Critical,9.3,VMware ESXi Heap Overflow RCE,esxi-prod-07,10.30.0.47,443,tcp,2025-08-28,2025-12-29,Risk Accepted,Infrastructure Engineering,VULN-4891,RA-2025-017 — CISO approved risk acceptance with compensating controls
376344,CVE-2024-53677,Medium,5.8,Apache Struts Path Traversal,legacy-crm,10.30.4.58,8080,tcp,2025-10-25,2025-12-29,Open,Application Engineering,VULN-5067,Application retirement planned for March 2026
376455,CVE-2025-21376,Medium,6.5,Windows LDAP RCE,corp-dc-02,10.30.1.6,636,tcp,2025-11-12,2025-12-29,Open,IT Operations,VULN-5145,Patch in staging validation
376199,CVE-2024-9143,Low,3.1,OpenSSL API Assertion Crash,api-gw-01,10.30.3.10,443,tcp,2025-08-22,2025-12-29,Remediated,Platform Engineering,VULN-4912,OpenSSL 3.4.1 deployed Oct 30
376388,CVE-2025-0282,Medium,5.4,Ivanti Connect Secure Buffer Overflow,vpn-concentrator-01,10.30.0.10,443,tcp,2025-10-30,2025-12-29,Remediated,Network Engineering,VULN-5078,Emergency patch applied Nov 1
376477,CVE-2025-21298,Medium,6.8,Windows OLE RCE,finance-ws-08,10.30.8.34,445,tcp,2025-11-18,2025-12-29,Open,IT Operations,VULN-5167,Monthly patch cycle — January
376255,CVE-2024-12356,Medium,5.1,BeyondTrust PRA Command Injection,pam-primary,10.30.1.22,443,tcp,2025-10-08,2025-12-29,Remediated,Security Operations,VULN-4978,Upgraded Oct 15
376533,CVE-2025-21334,Low,3.8,Hyper-V NT Kernel VSP EoP,hyperv-node-03,10.30.0.55,445,tcp,2025-11-25,2025-12-29,Open,Infrastructure Engineering,VULN-5201,Low risk — local access required
376211,CVE-2024-50623,Medium,6.4,Cleo Unrestricted File Upload,mft-gateway-01,10.30.3.32,443,tcp,2025-09-20,2025-12-29,Remediated,Integration Engineering,VULN-4945,Cleo Harmony upgraded Oct 5
376399,CVE-2025-0411,Low,3.2,7-Zip MotW Bypass,dev-ws-12,10.30.8.50,0,tcp,2025-11-03,2025-12-29,Open,Development,VULN-5098,Low priority endpoint
376466,CVE-2025-24085,Medium,5.9,macOS CoreMedia Use-After-Free,exec-mbp-05,10.30.9.15,0,tcp,2025-11-01,2025-12-29,Open,IT Operations,VULN-5112,Exec deferred macOS update — forced push scheduled
376555,CVE-2025-21396,Medium,4.7,Microsoft Account EoP,exchange-hybrid-01,10.30.1.18,443,tcp,2025-12-03,2025-12-29,Open,IT Operations,VULN-5220,Exchange CU pending — January window
376277,CVE-2024-49138,Medium,6.1,Windows CLFS Driver EoP,file-srv-03,10.30.2.28,445,tcp,2025-10-10,2025-12-29,Remediated,IT Operations,VULN-4989,November patch cycle
376511,CVE-2025-21293,Low,2.8,AD DS Elevation of Privilege,corp-dc-01,10.30.1.4,389,tcp,2025-11-20,2025-12-29,Open,IT Operations,VULN-5178,AD schema update — Q1 2026
376366,CVE-2025-0108,Medium,5.6,PAN-OS Authentication Bypass,fw-perimeter-01,10.30.0.2,443,tcp,2025-10-18,2025-12-29,Remediated,Network Engineering,VULN-5055,PAN-OS 11.1.6 deployed Oct 20
376155,CVE-2024-47575,Medium,6.3,FortiManager Missing Auth,fortimanager-prod,10.30.0.8,443,tcp,2025-09-12,2025-12-29,Remediated,Network Engineering,VULN-4922,Upgraded Sep 18
376577,CVE-2025-21355,Low,2.5,Microsoft Bing RCE,corp-ws-15,10.30.8.65,0,tcp,2025-12-12,2025-12-29,Open,IT Operations,VULN-5245,Bing integration disabled — low risk
376322,CVE-2024-11680,Medium,5.2,ProjectSend Auth Bypass,internal-share-02,10.30.5.20,80,tcp,2025-10-03,2025-12-29,Open,Development,VULN-4965,VPN-restricted internal tool
376444,CVE-2025-21311,Medium,4.9,Windows NTLM V1 EoP,print-srv-02,10.30.2.33,445,tcp,2025-10-28,2025-12-29,Open,IT Operations,VULN-5089,NTLMv1 disabled via GPO
376522,CVE-2025-21309,Medium,6.6,Windows RDS RCE,jump-box-01,10.30.1.38,3389,tcp,2025-11-10,2025-12-29,Remediated,Security Operations,VULN-5155,Emergency patch Nov 12
376233,CVE-2024-10914,Low,3.6,D-Link NAS Command Injection,nas-archive-01,10.30.5.42,8080,tcp,2025-09-25,2025-12-29,Open,IT Operations,VULN-4956,Isolated segment — replacement Q1 2026
376411,CVE-2025-0244,Medium,4.3,Chromium Address Bar Spoofing,corp-ws-fleet,10.30.8.0/24,0,tcp,2025-10-22,2025-12-29,Remediated,IT Operations,VULN-5066,Chrome fleet auto-update Oct 28
376488,CVE-2025-21295,Medium,5.7,SPNEGO NEGOEX RCE,app-tier-01,10.30.4.12,445,tcp,2025-11-14,2025-12-29,Open,Application Engineering,VULN-5156,Patch validated — January deployment
376166,CVE-2024-43451,Low,3.9,NTLM Hash Disclosure Spoofing,file-srv-01,10.30.2.22,445,tcp,2025-09-08,2025-12-29,Remediated,IT Operations,VULN-4908,October patch cycle
