database_name,engine,rds_encryption,kms_key_id,table_name,column_name,data_type,contains_pii,field_level_encryption,encryption_method,last_verified,owner,environment,notes
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,id,integer,No,N/A,N/A,2025-12-15,Platform Team,Production,Primary key
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,username,varchar(100),No,N/A,N/A,2025-12-15,Platform Team,Production,Login identifier
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,email,varchar(255),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,phone,varchar(20),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,ssn_hash,varchar(64),Yes,Yes,SHA-256 + HMAC,2025-12-15,Platform Team,Production,Hashed and salted
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,date_of_birth,date,Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,address_line1,varchar(255),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,address_city,varchar(100),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,address_state,varchar(50),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,users,address_zip,varchar(10),Yes,Yes,AES-256-GCM,2025-12-15,Platform Team,Production,Encrypted via app layer
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,orders,id,integer,No,N/A,N/A,2025-12-15,Platform Team,Production,Primary key
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,orders,user_id,integer,No,N/A,N/A,2025-12-15,Platform Team,Production,Foreign key
crestline_prod,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/prod-master-key,orders,amount,decimal(10:2),No,N/A,N/A,2025-12-15,Platform Team,Production,Transaction amount
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,id,integer,No,N/A,N/A,2025-12-15,Analytics Team,Production,Primary key
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,user_id,integer,No,N/A,N/A,2025-12-15,Analytics Team,Production,FK to users table
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,email,varchar(255),Yes,No,None,2025-12-15,Analytics Team,Production,PLAINTEXT - copied from users table via nightly ETL
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,phone,varchar(20),Yes,No,None,2025-12-15,Analytics Team,Production,PLAINTEXT - copied from users table via nightly ETL
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,signup_date,timestamp,No,N/A,N/A,2025-12-15,Analytics Team,Production,Account creation timestamp
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,segment,varchar(50),No,N/A,N/A,2025-12-15,Analytics Team,Production,Marketing segment
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,customer_profiles,lifetime_value,decimal(10:2),No,N/A,N/A,2025-12-15,Analytics Team,Production,Calculated LTV
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,engagement_events,id,integer,No,N/A,N/A,2025-12-15,Analytics Team,Production,Primary key
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,engagement_events,user_email,varchar(255),Yes,No,None,2025-12-15,Analytics Team,Production,PLAINTEXT - denormalized for query performance
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,engagement_events,event_type,varchar(50),No,N/A,N/A,2025-12-15,Analytics Team,Production,Click/view/purchase
crestline_analytics,PostgreSQL 15.4,Enabled,arn:aws:kms:us-east-1:123456789:key/analytics-key,engagement_events,event_timestamp,timestamp,No,N/A,N/A,2025-12-15,Analytics Team,Production,Event time
