risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,status,notes
NF-RISK-001,Information Security,Unauthorized access to trading platform,3,5,15,High,Mitigate,"MFA + CyberArk PAM + quarterly access reviews",Elena Rodriguez (VP Eng),2025-12-10,2026-03-10,Active,Zero unauthorized access in Q4
NF-RISK-002,Information Security,Data exfiltration via insider threat,2,5,10,High,Mitigate,"Symantec DLP + Exabeam UBA + USB restrictions",Nicole Tanaka (CISO),2025-11-20,2026-02-20,Active,UBA tuned Q3. No alerts Q4.
NF-RISK-003,Technology,Trading platform outage,3,5,15,High,Mitigate,"Multi-AZ + auto-scaling + DR site + 15-min RTO target",Elena Rodriguez (VP Eng),2025-12-01,2026-03-01,Active,DR test Q4: RTO achieved in 12 minutes
NF-RISK-004,Regulatory,SEC Regulation SCI compliance gaps,3,5,15,High,Mitigate,"Quarterly SCI compliance reviews + automated monitoring + incident reporting procedures",James Foster (General Counsel),2025-12-15,2026-03-15,Active,Q4 SCI review completed. No material findings.
NF-RISK-005,Regulatory,AML/KYC program deficiencies,3,4,12,High,Mitigate,"Automated transaction monitoring (Actimize) + enhanced due diligence + annual BSA audit",James Foster (General Counsel),2025-11-28,2026-02-28,Active,BSA audit completed Nov. Clean opinion.
NF-RISK-006,Information Security,Ransomware attack,4,5,20,Critical,Mitigate,"CrowdStrike EDR + network segmentation + immutable backups + Mandiant retainer",Nicole Tanaka (CISO),2025-12-20,2026-01-20,Active,Tabletop Dec 15. Response improved to 15 min.
NF-RISK-007,Technology,Software supply chain compromise,3,4,12,High,Mitigate,"Snyk SCA + dependency pinning + private registry",Elena Rodriguez (VP Eng),2025-11-05,2026-02-05,Active,SBOM generation automated Q4
NF-RISK-008,Third-Party,Critical market data vendor failure,2,5,10,High,Transfer,"Multi-vendor redundancy + SLA guarantees + cyber insurance",Rachel Wei (CFO),2025-12-05,2026-03-05,Active,Failover to backup vendor tested successfully
NF-RISK-009,Regulatory,Cross-border regulatory divergence (MiFID II / SEC),4,5,20,Critical,Accept,"Board-approved risk acceptance. Compensating controls: dual compliance team (EU + US), external counsel (Clifford Chance LLP), regulatory monitoring dashboard, quarterly compliance attestation",James Foster (General Counsel),2025-12-18,2026-01-18,Active,"Exception EXC-2025-031 approved. Board Resolution BR-2025-018 (Sept 2025). CRO recommendation documented. Quarterly reviews completed: Q3 2025, Q4 2025. Cyber insurance covers regulatory fines up to $15M (AIG Policy FIN-2025-NF-0091). Maximum duration: expires Sept 2026."
NF-RISK-010,Information Security,Phishing credential compromise,4,3,12,High,Mitigate,"KnowBe4 + monthly phishing sims + Proofpoint + FIDO2 MFA",Nicole Tanaka (CISO),2025-11-28,2026-02-28,Active,Click rate 2.9% (down from 5.4%)
NF-RISK-011,Technology,API latency degradation under market volatility,3,4,12,High,Mitigate,"Auto-scaling + CDN + circuit breakers + load testing quarterly",Elena Rodriguez (VP Eng),2025-12-08,2026-03-08,Active,P99 latency stable at 28ms during Nov volatility event
NF-RISK-012,Operational,Key person dependency in compliance team,3,3,9,Medium,Mitigate,"Cross-training + documented procedures + backup designees",James Foster (General Counsel),2025-10-15,2026-04-15,Active,Backup compliance officer designated Q4
NF-RISK-013,Information Security,Cloud misconfiguration,3,5,15,High,Mitigate,"Wiz CSPM + auto-remediation + IaC enforcement",Elena Rodriguez (VP Eng),2025-12-10,2026-03-10,Active,4 auto-remediations in Q4
NF-RISK-014,Technology,Legacy reconciliation engine vulnerabilities,3,4,12,High,Mitigate,"WAF + virtual patching + quarterly pentests + migration planned Q3 2026",Elena Rodriguez (VP Eng),2025-04-22,2025-07-22,Active,"OVERDUE: Last reviewed April 2025. Migration timeline slipped from Q1 to Q3 2026."
NF-RISK-015,Regulatory,DORA compliance readiness (EU operations),3,4,12,High,Mitigate,"Gap assessment completed + remediation roadmap + ICT risk management framework update",James Foster (General Counsel),2025-06-10,2025-09-10,Active,"OVERDUE: Last reviewed June 2025. Gap assessment identified 8 findings; 3 remain open."
