risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,status,notes
SH-RISK-001,Information Security,Unauthorized access to EHR production databases,3,5,15,High,Mitigate,"MFA + CyberArk PAM + quarterly access reviews + audit logging",Lisa Chang (VP Eng),2025-11-15,2026-02-15,Active,Zero unauthorized access Q4
SH-RISK-002,HIPAA Compliance,PHI breach via misconfigured API endpoint,3,5,15,High,Mitigate,"API security gateway + input validation + PHI detection scanning + WAF",Lisa Chang (VP Eng),2025-12-01,2026-03-01,Active,API pentest Q4: no PHI exposure findings
SH-RISK-003,Technology,EHR platform outage during clinical hours,3,5,15,High,Mitigate,"Multi-AZ + auto-failover + DR site + 15-min RTO",Lisa Chang (VP Eng),2025-12-10,2026-03-10,Active,DR test Q4: RTO 11 minutes. Zero unplanned outages.
SH-RISK-004,Information Security,Ransomware attack encrypting patient records,4,5,20,Critical,Mitigate,"CrowdStrike EDR + network segmentation + immutable backups + Mandiant retainer + quarterly tabletop",Karen Obi (CISO),2025-12-15,2026-01-15,Active,Tabletop Dec 10. Detection time: 14 minutes.
SH-RISK-005,HIPAA Compliance,Failure to meet HIPAA breach notification 60-day deadline,2,5,10,High,Mitigate,"Documented IR procedures + HHS notification templates + legal counsel retainer + quarterly drills",Sandra Blake (General Counsel),2025-11-20,2026-02-20,Active,Notification drill Nov 18: completed in simulated 22 days.
SH-RISK-006,Third-Party,PHI exposure through business associate breach,3,5,15,High,Mitigate,"BAA enforcement + annual BA assessments + BitSight monitoring + breach notification clauses",Derek Palmer (CRO),2025-12-05,2026-03-05,Active,8 of 10 BA assessments completed for 2025.
SH-RISK-007,Technology,Clinical data integrity corruption,2,5,10,High,Mitigate,"Checksums + transaction logging + daily integrity audits + point-in-time recovery",Dr. Michael Torres (CMIO),2025-11-28,2026-02-28,Active,Zero integrity alerts Q4. Daily audit reports clean.
SH-RISK-008,Information Security,Insider threat — clinician accessing records outside treatment relationship,3,4,12,High,Mitigate,"Break-the-glass access controls + audit logging + UBA + quarterly access reviews",Karen Obi (CISO),2025-10-20,2026-01-20,Active,2 break-the-glass events Q4 — both legitimate emergency access.
SH-RISK-009,Operational,Loss of key engineering personnel,3,3,9,Medium,Mitigate,"Cross-training + documented runbooks + competitive retention",Lisa Chang (VP Eng),2025-09-15,2026-03-15,Active,3 new engineers onboarded Q4.
SH-RISK-010,Technology,Legacy HL7v2 interface vulnerabilities,3,4,12,High,Mitigate,"Network segmentation + input validation + migration to FHIR R4 planned Q2 2026",Lisa Chang (VP Eng),2025-12-02,2026-03-02,Active,FHIR migration 40% complete.
SH-RISK-011,HIPAA Compliance,State health privacy law compliance gaps (CMIA/SHIELD Act),2,3,6,Medium,Mitigate,"Legal monitoring + OneTrust consent management + quarterly compliance reviews",Sandra Blake (General Counsel),2025-08-10,2026-02-10,Active,OneTrust updated for CMIA amendments Q3.
SH-RISK-012,Information Security,Cloud misconfiguration exposing PHI,3,5,15,High,Mitigate,"Wiz CSPM + auto-remediation + IaC enforcement + PHI detection scanning",Lisa Chang (VP Eng),2025-12-08,2026-03-08,Active,Wiz auto-remediated 3 S3 bucket misconfigs Q4.
