finding_id,severity,type,rule,title,file,line,project,first_detected,last_scanned,status,assigned_to,resolution_notes
SQ-7201,Medium,Vulnerability,java:S2068,Credentials should not be hard-coded,src/main/java/com/vantage/config/TestConfig.java,18,analytics-engine,2025-10-08,2025-12-29,Resolved,Amy Torres,Migrated to Vault on Oct 25
SQ-7202,Low,Code Smell,java:S1192,String literals should not be duplicated,src/main/java/com/vantage/util/ErrorCodes.java,34,shared-lib,2025-10-15,2025-12-29,Open,Ben Ortiz,Backlog
SQ-7203,High,Vulnerability,java:S5144,Server-side requests should not be forgeable (SSRF),src/main/java/com/vantage/integration/PartnerApiClient.java,89,integration-service,2025-09-02,2025-12-29,Open,Unassigned,EXC-SAST-2025-044 — Confirmed false positive by AppSec team. URL is constructed from allowlisted internal service registry. No user-controlled input reaches URL construction.
SQ-7204,Medium,Bug,java:S2259,Null pointers should not be dereferenced,src/main/java/com/vantage/service/ReportBuilder.java,156,reporting-service,2025-11-12,2025-12-29,Open,Carlos Reyes,PR #3811 in review
SQ-7205,Low,Code Smell,java:S1481,Unused local variables should be removed,src/main/java/com/vantage/api/MetricsController.java,72,api-gateway,2025-10-20,2025-12-29,Open,Amy Torres,Minor cleanup
SQ-7206,Medium,Vulnerability,java:S5131,XSS - Inputs should be validated,src/main/java/com/vantage/web/ReportViewer.java,203,portal-service,2025-10-28,2025-12-29,Resolved,Diana Patel,Sanitization added Nov 15
SQ-7207,High,Vulnerability,java:S2755,XML parsers should not be vulnerable to XXE attacks,src/main/java/com/vantage/etl/XmlDataIngester.java,67,data-pipeline,2025-09-10,2025-12-29,Open,Unassigned,No action taken — ETL pipeline processes partner data feeds
SQ-7208,Low,Code Smell,java:S1135,Track uses of TODO tags,src/main/java/com/vantage/util/DateFormatter.java,11,shared-lib,2025-09-28,2025-12-29,Open,Ben Ortiz,Acknowledged
SQ-7209,Medium,Bug,java:S2583,Conditions that always evaluate to TRUE or FALSE,src/main/java/com/vantage/service/PricingEngine.java,312,pricing-service,2025-11-05,2025-12-29,Open,Eva Lin,Investigating dead code path
SQ-7210,Low,Code Smell,java:S1854,Unused assignments should be removed,src/main/java/com/vantage/data/UserMapper.java,45,user-service,2025-10-10,2025-12-29,Open,Frank Cho,Low priority
SQ-7211,Medium,Vulnerability,java:S3649,Database queries should not be vulnerable to injection,src/main/java/com/vantage/dao/LegacyReportDao.java,134,reporting-service,2025-11-18,2025-12-29,Open,Carlos Reyes,Refactoring to parameterized queries — target Jan 10
SQ-7212,Low,Code Smell,java:S1118,Utility classes should not have public constructors,src/main/java/com/vantage/util/MathUtils.java,5,shared-lib,2025-10-22,2025-12-29,Open,Amy Torres,Minor
SQ-7213,Medium,Vulnerability,java:S4790,Weak hashing algorithms should not be used,src/main/java/com/vantage/security/ChecksumValidator.java,28,data-pipeline,2025-11-22,2025-12-29,Open,Grace Kim,MD5 used for non-security checksum — evaluating migration to SHA-256
SQ-7214,Low,Code Smell,java:S106,Standard outputs should not be used directly,src/main/java/com/vantage/batch/NightlyAggregator.java,56,analytics-engine,2025-09-15,2025-12-29,Open,Ben Ortiz,Logger migration planned
SQ-7215,Medium,Bug,java:S2095,Resources should be closed after use,src/main/java/com/vantage/data/JdbcConnector.java,89,shared-lib,2025-11-28,2025-12-29,Open,Frank Cho,Try-with-resources refactor pending
SQ-7216,Low,Code Smell,java:S1172,Unused method parameters should be removed,src/main/java/com/vantage/handler/EventRouter.java,112,event-service,2025-10-05,2025-12-29,Open,Eva Lin,Backlog
SQ-7217,Medium,Vulnerability,java:S5122,CORS origins should be properly validated,src/main/java/com/vantage/config/CorsFilter.java,22,api-gateway,2025-10-30,2025-12-29,Resolved,Diana Patel,Restricted to known origins Nov 20
SQ-7218,Low,Code Smell,java:S1940,Boolean checks should not be inverted,src/main/java/com/vantage/util/FeatureFlags.java,38,shared-lib,2025-10-18,2025-12-29,Open,Amy Torres,Minor
SQ-7219,Medium,Bug,java:S4973,Floating point equality comparison,src/main/java/com/vantage/service/InvoiceCalculator.java,187,billing-service,2025-12-05,2025-12-29,Open,Carlos Reyes,Migrating to BigDecimal — PR #3845
SQ-7220,Low,Code Smell,java:S1068,Unused private fields should be removed,src/main/java/com/vantage/model/AnalyticsEvent.java,15,analytics-engine,2025-09-22,2025-12-29,Open,Ben Ortiz,Backlog
SQ-7221,Medium,Vulnerability,java:S2647,Basic authentication should not be used,src/main/java/com/vantage/config/AdminPortalAuth.java,30,portal-service,2025-10-12,2025-12-29,Open,Grace Kim,OAuth2 migration in Q1 2026
SQ-7222,Low,Code Smell,java:S1155,Collection.isEmpty() should be used,src/main/java/com/vantage/util/CollectionHelper.java,19,shared-lib,2025-10-25,2025-12-29,Open,Eva Lin,Minor
SQ-7223,Medium,Bug,java:S2637,Non-null fields set to null,src/main/java/com/vantage/model/DataRecord.java,78,data-pipeline,2025-12-10,2025-12-29,Open,Frank Cho,Null safety review in progress
SQ-7224,Low,Code Smell,java:S1128,Unnecessary imports,src/main/java/com/vantage/web/DashboardController.java,4,portal-service,2025-10-02,2025-12-29,Open,Diana Patel,Auto-cleanup
SQ-7225,Medium,Vulnerability,java:S6096,File path injection should be prevented,src/main/java/com/vantage/api/ExportController.java,55,api-gateway,2025-11-25,2025-12-29,Open,Amy Torres,Path validation PR pending
