risk_id,risk_category,risk_description,likelihood,impact,risk_rating,risk_classification,treatment_strategy,treatment_plan,risk_owner,last_review_date,next_review_date,status,notes
CV-RISK-001,Information Security,Unauthorized access to production databases,3,5,15,High,Mitigate,"MFA enforced for DB access, CyberArk PAM, quarterly access reviews",Jason Lee (VP Engineering),2025-11-20,2026-02-20,Active,Access review completed Q4. Zero unauthorized access attempts detected.
CV-RISK-002,Information Security,Data exfiltration via insider threat,2,5,10,High,Mitigate,"DLP (Symantec), USB restrictions, email content filtering, Exabeam UBA",Alicia Morgan (CISO),2025-12-01,2026-03-01,Active,UBA tuned in Q3. Two false positives investigated in Q4.
CV-RISK-003,Technology,Production outage from infrastructure failure,3,4,12,High,Mitigate,"Multi-AZ deployment, auto-scaling, automated failover, DR in us-west-2",Jason Lee (VP Engineering),2025-10-15,2026-01-15,Active,DR test completed successfully Q4. RTO 42 minutes.
CV-RISK-004,Regulatory,GDPR data subject request non-compliance,2,4,8,Medium,Mitigate,"Automated DSR portal, data mapping completed, 30-day SLA tracking",Patricia Dunn (General Counsel),2025-09-10,2026-03-10,Active,18 DSRs processed in 2025. All within 30-day window.
CV-RISK-005,Third-Party,Critical vendor service disruption,2,5,10,High,Transfer,"AWS Enterprise Support, BAA in place, cyber insurance covers cloud outage up to $5M",David Park (CFO),2025-11-15,2026-02-15,Active,No vendor disruptions in Q4.
CV-RISK-006,Information Security,Ransomware attack on corporate network,4,5,20,Critical,Mitigate,"CrowdStrike Falcon EDR, network segmentation, immutable backups, Mandiant IR retainer, quarterly tabletops",Alicia Morgan (CISO),2025-12-10,2026-03-10,Active,Tabletop exercise completed Dec 5. Response time improved to 18 minutes.
CV-RISK-007,Operational,Loss of key security personnel,3,3,9,Medium,Mitigate,"Cross-training program, documented runbooks, knowledge base, competitive retention",Alicia Morgan (CISO),2025-07-22,2026-01-22,Active,Two analysts onboarded Q3. Cross-training at 80%.
CV-RISK-008,Technology,Software supply chain compromise,3,4,12,High,Mitigate,"Snyk SCA in CI/CD, dependency pinning, Artifactory private registry, SBOM generation",Jason Lee (VP Engineering),2025-11-05,2026-02-05,Active,SBOM generation automated in Q4.
CV-RISK-009,Regulatory,State privacy law compliance gaps (CCPA/CPRA),2,3,6,Medium,Mitigate,"Legal monitoring, OneTrust consent platform, quarterly privacy program reviews",Patricia Dunn (General Counsel),2025-08-14,2026-02-14,Active,OneTrust updated for CPRA amendments in Q3.
CV-RISK-010,Information Security,Cloud misconfiguration leading to data exposure,3,5,15,High,Mitigate,"Wiz CSPM, automated remediation for critical configs, weekly drift reports, IaC enforcement",Jason Lee (VP Engineering),2025-12-08,2026-03-08,Active,Wiz auto-remediated 5 S3 misconfigs in Q4.
CV-RISK-011,Technology,API authentication bypass,2,5,10,High,Mitigate,"WAF rules, JWT validation, rate limiting, quarterly penetration testing",Jason Lee (VP Engineering),2025-10-30,2026-01-30,Active,Q4 pentest: no critical findings.
CV-RISK-012,Information Security,Phishing leading to credential compromise,4,3,12,High,Mitigate,"KnowBe4 training, monthly phishing simulations, Proofpoint email gateway, FIDO2 MFA",Alicia Morgan (CISO),2025-11-28,2026-02-28,Active,Click rate 3.8% (down from 6.5% in Q3).
CV-RISK-013,Regulatory,Cross-border data transfer non-compliance,4,5,20,Critical,Mitigate,"SCCs with EU partners, encryption in transit, data residency controls, EU legal counsel review",Patricia Dunn (General Counsel),2024-10-18,2025-01-18,Active,Legal review with Fieldfisher LLP completed Oct 2024. Awaiting EU regulatory guidance update.
CV-RISK-014,Third-Party,Vendor data breach affecting shared customer data,3,4,12,High,Mitigate,"Annual vendor assessments, BitSight monitoring, contractual data protection, DPAs",David Park (CFO),2025-11-01,2026-02-01,Active,10 of 12 critical vendor assessments completed for 2025.
CV-RISK-015,Technology,Legacy application vulnerabilities,3,4,12,High,Mitigate,"Cloudflare WAF, quarterly pentests, virtual patching, migration to v3 planned Q2 2026",Jason Lee (VP Engineering),2025-12-02,2026-03-02,Active,Pentest Dec 1: two medium findings remediated.
